ID;Accession ID;Fecha muestra;Linaje__autocolor;Departamento__autocolor;LATITUDE;LONGITUDE;DAY;MONTH;YEAR
NC_045512_2_Wuhan-Hu-1_complete_genome;EPI_ISL_402124;30/12/2019;B;Wuhan;;;30;12;2019
hCoV-19/Colombia/SAN-UW-651275441501/2020|EPI_ISL_1324144|2020-11-30;EPI_ISL_1324144;30/11/2020;B.1.1;Santander;6,693633184;-73,48600894;30;11;2020
hCoV-19/Colombia/SAN-576900-002/2020|EPI_ISL_1576835|2020-10-25;EPI_ISL_1576835;25/10/2020;B.1.1;Santander;6,693633184;-73,48600894;25;10;2020
hCoV-19/Colombia/SAN-576900-007-RNA/2020|EPI_ISL_1577182|2020-12-03;EPI_ISL_1577182;3/12/2020;B.1.1;Santander;6,693633184;-73,48600894;3;12;2020
hCoV-19/Colombia/DC-UANDES-G015313/2021|EPI_ISL_1626613|2021-03-26;EPI_ISL_1626613;26/03/2021;P.1 (GAMMA);Bogota;4,598022;-74,075889;26;3;2021
hCoV-19/Colombia/DC-UANDES-G015158/2021|EPI_ISL_1626615|2021-03-24;EPI_ISL_1626615;24/03/2021;P.1 (GAMMA);Bogota;4,598022;-74,075889;24;3;2021
hCoV-19/Colombia/DC-UANDES-G015436/2021|EPI_ISL_1626616|2021-03-29;EPI_ISL_1626616;29/03/2021;P.1 (GAMMA);Bogota;4,598022;-74,075889;29;3;2021
hCoV-19/Colombia/DC-UANDES-309026/2021|EPI_ISL_1626618|2021-03-25;EPI_ISL_1626618;25/03/2021;P.1 (GAMMA);Bogota;4,598022;-74,075889;25;3;2021
hCoV-19/Colombia/DC-UANDES-339014/2021|EPI_ISL_1626619|2021-04-03;EPI_ISL_1626619;3/04/2021;P.1 (GAMMA);Bogota;4,598022;-74,075889;3;4;2021
hCoV-19/Colombia/ARA-INS-VG-2151/2021|EPI_ISL_1805639|2021-04-09;EPI_ISL_1805639;9/04/2021;P.1 (GAMMA);Arauca;6,569577215;-70,96732394;9;4;2021
hCoV-19/Colombia/DC-INS-VG-2114/2021|EPI_ISL_1820962|2021-04-12;EPI_ISL_1820962;12/04/2021;B.1.621;Bogota;4,598022;-74,075889;12;4;2021
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00213E/2021|EPI_ISL_1960080|2021-04-09;EPI_ISL_1960080;9/04/2021;B.1.621;Sucre;9,197212;-75,078387;9;4;2021
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00262B/2021|EPI_ISL_1960081|2021-04-10;EPI_ISL_1960081;10/04/2021;B.1.621;Antioquia;6,702032125;-75,50455704;10;4;2021
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00276P/2021|EPI_ISL_1960082|2021-04-22;EPI_ISL_1960082;22/04/2021;B.1.621;Antioquia;6,702032125;-75,50455704;22;4;2021
hCoV-19/Colombia/ATL-INS-VG-2327/2021|EPI_ISL_2158355|2021-04-14;EPI_ISL_2158355;14/04/2021;B.1.621;Atlantico;10,67700953;-74,96521949;14;4;2021
hCoV-19/Colombia/CUN-S11/2021|EPI_ISL_2339776|2021-04-16;EPI_ISL_2339776;16/04/2021;B.1.1.7 (ALFA);Cundinamarca;5,3358;-74,3015;16;4;2021
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00641Q/2021|EPI_ISL_2621148|2021-05-13;EPI_ISL_2621148;13/05/2021;B.1.625;Antioquia;6,702032125;-75,50455704;13;5;2021
hCoV-19/Colombia/CAL-INS-VG-2795/2021|EPI_ISL_2674296|2021-04-29;EPI_ISL_2674296;29/04/2021;B.1.1.7 (ALFA);Caldas;5,280139978;-75,27498304;29;4;2021
hCoV-19/Colombia/ANT-PRO-LDSP41/2021|EPI_ISL_3347175|2021-04-27;EPI_ISL_3347175;27/04/2021;B.1.1.7 (ALFA);Antioquia;6,702032125;-75,50455704;27;4;2021
hCoV-19/Colombia/ANT-PRO-LDSP30/2021|EPI_ISL_3347177|2021-04-26;EPI_ISL_3347177;26/04/2021;B.1.1.7 (ALFA);Antioquia;6,702032125;-75,50455704;26;4;2021
hCoV-19/Colombia/COV-VG-3635/2021|EPI_ISL_3355512|2021-04-17;EPI_ISL_3355512;17/04/2021;B.1.1.7 (ALFA);Valle Del Cauca;3,569858693;-76,62850427;17;4;2021
hCoV-19/Colombia/CAQ-INS-VG-4836/2021|EPI_ISL_3459389|2021-07-14;EPI_ISL_3459389;14/07/2021;B.1.625;Caqueta;1,293529;-74,828635;14;7;2021
hCoV-19/Colombia/HUI-INS-VG-4802/2021|EPI_ISL_3459390|2021-07-08;EPI_ISL_3459390;8/07/2021;B.1.625;Huila;2,570143029;-75,58434836;8;7;2021
hCoV-19/Colombia/MET-INS-VG-5025/2021|EPI_ISL_3459415|2021-07-20;EPI_ISL_3459415;20/07/2021;C.37 (LAMBDA);Meta;3,345562732;-72,95645988;20;7;2021
hCoV-19/Colombia/VAC-INS-VG-4874/2021|EPI_ISL_3459416|2021-07-01;EPI_ISL_3459416;1/07/2021;C.37 (LAMBDA);Valle Del Cauca;3,569858693;-76,62850427;1;7;2021
hCoV-19/Colombia/VAC-INS-VG-4872/2021|EPI_ISL_3459417|2021-07-10;EPI_ISL_3459417;10/07/2021;C.37 (LAMBDA);Valle Del Cauca;3,569858693;-76,62850427;10;7;2021
hCoV-19/Colombia/CVU3913/2021|EPI_ISL_3491806|2021-05-14;EPI_ISL_3491806;14/05/2021;B.1.625;Bogota;4,598022;-74,075889;14;5;2021
hCoV-19/Colombia/CVU4000/2021|EPI_ISL_3491814|2021-05-18;EPI_ISL_3491814;18/05/2021;B.1.625;Bogota;4,598022;-74,075889;18;5;2021
hCoV-19/Colombia/CUN-817544/2021|EPI_ISL_3673674|2021-07-16;EPI_ISL_3673674;16/07/2021;AY.12 (DELTA);Cundinamarca;5,3358;-74,3015;16;7;2021
hCoV-19/Colombia/CUN-817545/2021|EPI_ISL_3673675|2021-07-16;EPI_ISL_3673675;16/07/2021;AY.12 (DELTA);Cundinamarca;5,3358;-74,3015;16;7;2021
hCoV-19/Colombia/CUN-GO28045/2021|EPI_ISL_3673677|2021-07-19;EPI_ISL_3673677;19/07/2021;AY.12 (DELTA);Cundinamarca;5,3358;-74,3015;19;7;2021
